user_id,item_id
1475,29028
1475,26149
1475,11962
1475,23506
1475,26268
2469,29028
2469,26149
2469,11962
2469,23506
2469,26268
259,29028
259,26149
259,11962
259,23506
259,26268
1274,29028
1274,26149
1274,11962
1274,23506
1274,26268
1066,29028
1066,26149
1066,11962
1066,23506
1066,26268
967,29028
967,26149
967,11962
967,23506
967,26268
462,29028
462,26149
462,11962
462,23506
462,26268
796,29028
796,26149
796,11962
796,23506
796,26268
101,29028
101,26149
101,11962
101,23506
101,26268
148,29028
148,26149
148,11962
148,23506
148,26268
1768,29028
1768,26149
1768,11962
1768,23506
1768,26268
1075,29028
1075,26149
1075,11962
1075,23506
1075,26268
608,29028
608,26149
608,11962
608,23506
608,26268
2658,29028
2658,26149
2658,11962
2658,23506
2658,26268
566,29028
566,26149
566,11962
566,23506
566,26268
539,29028
539,26149
539,11962
539,23506
539,26268
2733,29028
2733,26149
2733,11962
2733,23506
2733,26268
2536,29028
2536,26149
2536,11962
2536,23506
2536,26268
179,29028
179,26149
179,11962
179,23506
179,26268
2103,29028
2103,26149
2103,11962
2103,23506
2103,26268
1515,29028
1515,26149
1515,11962
1515,23506
1515,26268
1736,29028
1736,26149
1736,11962
1736,23506
1736,26268
1052,29028
1052,26149
1052,11962
1052,23506
1052,26268
478,29028
478,26149
478,11962
478,23506
478,26268
1254,29028
1254,26149
1254,11962
1254,23506
1254,26268
1951,29028
1951,26149
1951,11962
1951,23506
1951,26268
763,29028
763,26149
763,11962
763,23506
763,26268
